500 955
113 114 20000
113 133 20000
114 115 30000
114 134 40000
115 116 30000
115 135 20000
116 117 40000
116 136 40000
117 118 20000
117 137 40000
118 119 40000
118 138 40000
119 139 20000
120 121 20000
120 140 30000
121 122 30000
121 141 40000
122 123 40000
122 142 40000
123 124 20000
123 143 40000
124 125 30000
124 144 40000
125 126 40000
125 145 40000
126 127 40000
126 146 10000
127 128 20000
127 147 30000
128 129 40000
128 148 10000
129 130 40000
129 149 30000
130 131 30000
130 150 40000
131 132 30000
131 151 30000
132 133 30000
132 152 10000
133 134 10000
133 153 10000
134 135 10000
134 154 10000
135 136 20000
135 155 40000
136 137 40000
136 156 10000
137 138 10000
137 157 30000
138 139 40000
138 158 40000
139 159 40000
140 141 40000
140 160 20000
141 142 10000
141 161 30000
142 143 20000
142 162 40000
143 144 20000
143 163 30000
144 145 20000
144 164 10000
145 146 30000
145 165 40000
146 147 30000
146 166 10000
147 148 30000
147 167 40000
148 149 40000
148 168 40000
149 150 30000
149 169 10000
150 151 10000
150 170 10000
151 152 20000
151 171 40000
152 153 20000
152 172 20000
153 154 40000
153 173 10000
154 155 10000
154 174 30000
155 156 40000
155 175 20000
156 157 20000
156 176 30000
157 158 40000
157 177 30000
158 159 10000
158 178 30000
159 179 40000
160 161 40000
160 180 20000
161 162 30000
161 181 40000
162 163 20000
162 182 10000
163 164 10000
163 183 30000
164 165 40000
164 184 20000
165 166 10000
165 185 40000
166 167 30000
166 186 30000
167 168 30000
167 187 40000
168 169 10000
168 188 20000
169 170 40000
169 189 10000
170 171 40000
170 190 10000
171 172 30000
171 191 30000
172 173 10000
172 192 40000
173 174 20000
173 193 20000
174 175 40000
174 194 20000
175 176 10000
175 195 30000
176 177 10000
176 196 20000
177 178 20000
177 197 10000
178 179 10000
178 198 10000
179 199 20000
180 181 10000
180 200 40000
181 182 10000
181 201 30000
182 183 30000
182 202 30000
183 184 10000
183 203 10000
184 185 20000
184 204 30000
185 186 40000
185 205 40000
186 187 30000
186 206 10000
187 188 40000
187 207 20000
188 189 30000
188 208 10000
189 190 40000
189 209 30000
190 191 20000
190 210 30000
191 192 40000
191 211 40000
192 193 20000
192 212 20000
193 194 40000
193 213 40000
194 195 30000
194 214 30000
195 196 30000
195 215 40000
196 197 20000
196 216 20000
197 198 40000
197 217 40000
198 199 10000
198 218 20000
199 219 20000
200 201 40000
200 220 10000
201 202 20000
201 221 20000
202 203 20000
202 222 40000
203 204 30000
203 223 20000
204 205 20000
204 224 30000
205 206 40000
205 225 30000
206 207 40000
206 226 30000
207 208 20000
207 227 20000
208 209 20000
208 228 10000
209 210 10000
209 229 10000
210 211 20000
210 230 40000
211 212 40000
211 231 10000
212 213 30000
212 232 20000
213 214 30000
213 233 20000
214 215 20000
214 234 40000
215 216 30000
215 235 10000
216 217 20000
216 236 30000
217 218 40000
217 237 20000
218 219 40000
218 238 20000
219 239 20000
220 221 30000
220 240 10000
221 222 30000
221 241 10000
222 223 20000
222 242 40000
223 224 10000
223 243 20000
224 225 10000
224 244 30000
225 226 20000
225 245 40000
226 227 40000
226 246 30000
227 228 20000
227 247 20000
228 229 40000
228 248 20000
229 230 20000
229 249 30000
230 231 40000
230 250 30000
231 232 40000
231 251 10000
232 233 40000
232 252 20000
233 234 40000
233 253 10000
234 235 40000
234 254 30000
235 236 10000
235 255 10000
236 237 20000
236 256 20000
237 238 20000
237 257 40000
238 239 10000
238 258 20000
239 259 10000
240 241 40000
240 260 20000
241 242 30000
241 261 10000
242 243 20000
242 262 10000
243 244 10000
243 263 40000
244 245 30000
244 264 10000
245 246 40000
245 265 30000
246 247 10000
246 266 30000
247 248 20000
247 267 40000
248 249 30000
248 268 30000
249 250 30000
249 269 40000
250 251 30000
250 270 10000
251 252 30000
251 271 10000
252 253 20000
252 272 30000
253 254 10000
253 273 10000
254 255 20000
254 274 40000
255 256 30000
255 275 30000
256 257 40000
256 276 10000
257 258 10000
257 277 30000
258 259 20000
258 278 10000
259 279 20000
260 261 30000
260 280 10000
261 262 10000
261 281 20000
262 263 40000
262 282 10000
263 264 10000
263 283 30000
264 265 40000
264 284 10000
265 266 40000
265 285 10000
266 267 20000
266 286 20000
267 268 30000
267 287 20000
268 269 20000
268 288 30000
269 270 20000
269 289 20000
270 271 40000
270 290 20000
271 272 40000
271 291 10000
272 273 20000
272 292 20000
273 274 10000
273 293 40000
274 275 30000
274 294 20000
275 276 10000
275 295 40000
276 277 20000
276 296 30000
277 278 20000
277 297 20000
278 279 10000
278 298 40000
279 299 10000
280 281 30000
280 300 30000
281 282 10000
281 301 20000
282 283 30000
282 302 30000
283 284 20000
283 303 40000
284 285 10000
284 304 40000
285 286 30000
285 305 20000
286 287 20000
286 306 10000
287 288 40000
287 307 10000
288 289 30000
288 308 40000
289 290 30000
289 309 40000
290 291 40000
290 310 20000
291 292 10000
291 311 40000
292 293 10000
292 312 30000
293 294 10000
293 313 30000
294 295 20000
294 314 40000
295 296 20000
295 315 40000
296 297 30000
296 316 30000
297 298 30000
297 317 40000
298 299 20000
298 318 10000
299 319 10000
300 301 20000
300 320 20000
301 302 10000
301 321 40000
302 303 40000
302 322 30000
303 304 40000
303 323 10000
304 305 10000
304 324 40000
305 306 10000
305 325 20000
306 307 10000
306 326 30000
307 308 20000
307 327 30000
308 309 20000
308 328 40000
309 310 40000
309 329 20000
310 311 10000
310 330 30000
311 312 20000
311 331 40000
312 313 40000
312 332 10000
313 314 20000
313 333 40000
314 315 40000
314 334 20000
315 316 40000
315 335 20000
316 317 40000
316 336 10000
317 318 40000
317 337 40000
318 319 10000
318 338 10000
319 339 30000
320 321 10000
320 340 40000
321 322 20000
321 341 10000
322 323 30000
322 342 40000
323 324 10000
323 343 10000
324 325 20000
324 344 40000
325 326 10000
325 345 20000
326 327 30000
326 346 20000
327 328 20000
327 347 10000
328 329 40000
328 348 10000
329 330 40000
329 349 30000
330 331 30000
330 350 40000
331 332 20000
331 351 10000
332 333 20000
332 352 10000
333 334 10000
333 353 40000
334 335 30000
334 354 30000
335 336 20000
335 355 30000
336 337 10000
336 356 20000
337 338 40000
337 357 40000
338 339 10000
338 358 20000
339 359 30000
340 341 10000
340 360 40000
341 342 40000
341 361 20000
342 343 20000
342 362 30000
343 344 30000
343 363 20000
344 345 40000
344 364 10000
345 346 40000
345 365 30000
346 347 30000
346 366 40000
347 348 40000
347 367 40000
348 349 20000
348 368 20000
349 350 20000
349 369 10000
350 351 20000
350 370 40000
351 352 20000
351 371 30000
352 353 30000
352 372 30000
353 354 30000
353 373 30000
354 355 20000
354 374 10000
355 356 30000
355 375 20000
356 357 10000
356 376 30000
357 358 20000
357 377 40000
358 359 30000
358 378 20000
359 379 10000
360 361 30000
360 380 40000
361 362 10000
361 381 20000
362 363 10000
362 382 20000
363 364 10000
363 383 10000
364 365 20000
364 384 40000
365 366 20000
365 385 40000
366 367 20000
366 386 10000
367 368 20000
367 387 20000
368 369 40000
368 388 20000
369 370 20000
369 389 30000
370 371 20000
370 390 10000
371 372 10000
371 391 30000
372 373 10000
372 392 40000
373 374 40000
373 393 30000
374 375 10000
374 394 10000
375 376 20000
375 395 40000
376 377 10000
376 396 20000
377 378 10000
377 397 30000
378 379 20000
378 398 10000
379 399 10000
380 381 40000
380 400 10000
381 382 20000
381 401 30000
382 383 30000
382 402 10000
383 384 30000
383 403 20000
384 385 10000
384 404 40000
385 386 20000
385 405 20000
386 387 30000
386 406 20000
387 388 40000
387 407 40000
388 389 20000
388 408 10000
389 390 20000
389 409 20000
390 391 10000
390 410 10000
391 392 10000
391 411 20000
392 393 10000
392 412 10000
393 394 20000
393 413 20000
394 395 40000
394 414 20000
395 396 40000
395 415 10000
396 397 20000
396 416 10000
397 398 20000
397 417 40000
398 399 30000
398 418 30000
399 419 10000
400 401 20000
400 420 30000
401 402 30000
401 421 30000
402 403 30000
402 422 40000
403 404 30000
403 423 20000
404 405 30000
404 424 10000
405 406 10000
405 425 40000
406 407 20000
406 426 30000
407 408 40000
407 427 10000
408 409 30000
408 428 10000
409 410 40000
409 429 30000
410 411 20000
410 430 40000
411 412 30000
411 431 20000
412 413 20000
412 432 10000
413 414 10000
413 433 10000
414 415 30000
414 434 10000
415 416 30000
415 435 10000
416 417 40000
416 436 30000
417 418 10000
417 437 20000
418 419 20000
418 438 40000
419 439 30000
420 421 40000
420 440 10000
421 422 40000
421 441 30000
422 423 20000
422 442 30000
423 424 40000
423 443 10000
424 425 10000
424 444 10000
425 426 20000
425 445 10000
426 427 10000
426 446 40000
427 428 10000
427 447 10000
428 429 10000
428 448 30000
429 430 10000
429 449 30000
430 431 40000
430 450 10000
431 432 10000
431 451 20000
432 433 30000
432 452 30000
433 434 20000
433 453 40000
434 435 20000
434 454 30000
435 436 20000
435 455 40000
436 437 30000
436 456 10000
437 438 30000
437 457 30000
438 439 30000
438 458 40000
439 459 10000
440 441 20000
440 460 40000
441 442 20000
441 461 20000
442 443 20000
442 462 20000
443 444 20000
443 463 40000
444 445 20000
444 464 20000
445 446 30000
445 465 30000
446 447 30000
446 466 10000
447 448 20000
447 467 20000
448 449 30000
448 468 40000
449 450 20000
449 469 40000
450 451 10000
450 470 40000
451 452 40000
451 471 10000
452 453 40000
452 472 30000
453 454 20000
453 473 30000
454 455 30000
454 474 30000
455 456 30000
455 475 30000
456 457 40000
456 476 30000
457 458 20000
457 477 20000
458 459 10000
458 478 40000
459 479 30000
460 461 40000
460 480 30000
461 462 30000
461 481 30000
462 463 40000
462 482 30000
463 464 10000
463 483 30000
464 465 10000
464 484 40000
465 466 40000
465 485 30000
466 467 40000
466 486 20000
467 468 20000
467 487 30000
468 469 20000
468 488 10000
469 470 40000
469 489 30000
470 471 30000
470 490 20000
471 472 10000
471 491 10000
472 473 10000
472 492 20000
473 474 20000
473 493 20000
474 475 20000
474 494 10000
475 476 40000
475 495 30000
476 477 40000
476 496 20000
477 478 30000
477 497 20000
478 479 20000
478 498 10000
479 499 40000
480 481 4000
481 482 2000
482 483 3000
483 484 3000
484 485 2000
485 486 1000
486 487 3000
487 488 4000
488 489 4000
489 490 2000
490 491 3000
491 492 4000
492 493 3000
493 494 4000
494 495 4000
495 496 1000
496 497 2000
497 498 4000
498 499 3000
